Waupun,0.75,0.639,0.578,0.606,0.583
Wautoma,0.654,0.467,0.548,0.363,0.543
West Salem,0.929,0.513,0.55,0.492,0.547
Westby,0.846,0.461,0.544,0.446,0.539
Westfield,0.963,0.539,0.557,0.527,0.555
Whitewater,0.231,0.537,0.555,0.36,0.554
Winneconne,0.52,0.574,0.545,0.464,0.569
Wisconsin Dells,0.625,0.576,0.544,0.469,0.515
Wrightstown,0.692,0.536,0.556,0.405,0.557
Xavier,0.385,0.642,0.575,0.459,0.531
Abbotsford,0.625,0.472,0.531,0.297,0.527
Algoma,0.5,0.535,0.512,0.391,0.491
Aquinas,0.964,0.605,0.565,0.61,0.565
Athens,0.889,0.48,0.528,0.434,0.516
Auburndale,0.654,0.654,0.542,0.55,0.534
Belleville,0.4,0.599,0.533,0.423,0.546
Bonduel,0.852,0.588,0.551,0.556,0.535
Boscobel,0.48,0.505,0.533,0.371,0.511
Boyceville,0.375,0.466,0.543,0.243,0.535
Brookwood,0.32,0.578,0.474,0.274,0.442
Cadott,0.808,0.546,0.526,0.485,0.514
Cambridge,0.68,0.534,0.539,0.406,0.528
Cameron,0.385,0.539,0.556,0.325,0.539
Chequamegon,0.083,0.514,0.517,0.654,0.583
Chetek-Weyerhaeuser,0.385,0.483,0.536,0.283,0.511
Cochrane-Fountain City,0.769,0.502,0.526,0.49,0.536
Colby,0.273,0.515,0.556,0.269,0.588
Coleman,0.846,0.567,0.543,0.521,0.552
Colfax,0.786,0.597,0.534,0.524,0.537
Crandon,0.96,0.535,0.531,0.526,0.531
Crivitz,0.174,0.579,0.535,0.278,0.494
Cuba City,0.929,0.565,0.554,0.578,0.554
Cumberland,0.12,0.532,0.55,0.27,0.586
Darlington,0.704,0.543,0.54,0.511,0.534
Deerfield,0.857,0.496,0.536,0.442,0.535
Destiny,0.0,0.0,0.0,0.0,0.0
Dodgeland,0.391,0.536,0.524,0.513,0.534
Durand-Arkansaw,0.769,0.533,0.545,0.44,0.542
Edgar,0.828,0.576,0.526,0.537,0.528
Fall Creek,0.741,0.582,0.539,0.506,0.528
Fennimore,0.5,0.549,0.553,0.395,0.502
Gibraltar,0.2,0.502,0.544,0.318,0.483
Glenwood City,0.045,0.519,0.546,0.056,0.524
Golda Meir,0.455,0.423,0.518,0.272,0.479
Grantsburg,0.783,0.462,0.505,0.392,0.511
Horicon,0.36,0.523,0.534,0.518,0.535
Howards Grove,0.654,0.547,0.547,0.61,0.571
Iola-Scandinavia,0.8,0.524,0.515,0.466,0.515
Iowa-Grant,0.32,0.515,0.527,0.318,0.498
Kenosha Christian Life,0.417,0.52,0.511,0.55,0.502
Kenosha St. Joseph Catholic,0.462,0.551,0.542,0.476,0.536
Kohler,0.28,0.544,0.546,0.38,0.562
Laconia,0.857,0.609,0.569,0.631,0.562
Ladysmith,0.654,0.525,0.556,0.39,0.543
Lake Country Lutheran,0.68,0.575,0.548,0.502,0.517
Lancaster,0.538,0.547,0.567,0.436,0.562
Lourdes Acad.,0.885,0.547,0.535,0.545,0.532
Luther,0.5,0.498,0.541,0.503,0.541
Manawa,0.385,0.564,0.516,0.406,0.511
Manitowoc Lutheran,0.615,0.54,0.567,0.41,0.564
Marathon,0.538,0.567,0.53,0.422,0.522
Markesan,0.48,0.526,0.549,0.404,0.523
Melrose-Mindoro,0.5,0.515,0.513,0.597,0.513
Menominee Indian,0.542,0.543,0.524,0.404,0.531
Mineral Point,0.808,0.54,0.555,0.455,0.545
Mishicot,0.714,0.561,0.566,0.44,0.565
Mondovi,0.462,0.578,0.549,0.368,0.527
Montello,0.273,0.487,0.53,0.266,0.522
Necedah,0.273,0.514,0.506,0.2,0.528
Neillsville,0.966,0.556,0.554,0.548,0.554
New Glarus,1.0,0.577,0.542,0.577,0.542
Osseo-Fairchild,0.64,0.568,0.56,0.48,0.561
Ozaukee,0.217,0.597,0.541,0.319,0.54
Pacelli,0.5,0.554,0.52,0.431,0.496
Pardeeville,0.769,0.483,0.535,0.398,0.526
Parkview,0.375,0.498,0.509,0.438,0.481
Phillips,0.885,0.578,0.54,0.545,0.545
Racine Lutheran,0.607,0.558,0.528,0.527,0.529
Random Lake,0.593,0.543,0.547,0.406,0.524
Reedsville,0.458,0.537,0.566,0.349,0.545
Regis,0.5,0.577,0.558,0.488,0.558
Roncalli,0.208,0.557,0.564,0.239,0.547
St. Croix Falls,0.926,0.498,0.555,0.493,0.56
Saint Mary Catholic,0.964,0.567,0.537,0.554,0.533
St. Mary's Springs,0.56,0.544,0.556,0.383,0.539
Shiocton,0.538,0.597,0.538,0.632,0.549
Shoreland Lutheran,0.333,0.549,0.533,0.378,0.517
Spencer,0.13,0.569,0.538,0.547,0.573
Spring Valley,0.292,0.523,0.538,0.263,0.528
Stanley-Boyd,0.304,0.571,0.534,0.299,0.515
Stratford,0.48,0.611,0.528,0.437,0.521
The Prairie School,0.893,0.571,0.543,0.547,0.547
Unity,0.538,0.546,0.535,0.348,0.556
Washburn,0.318,0.531,0.538,0.454,0.517
Waterloo,0.44,0.543,0.548,0.437,0.542
Wayland Academy,0.478,0.58,0.495,0.499,0.503
Weyauwega-Fremont,0.227,0.559,0.522,0.236,0.51
Whitehall,0.458,0.507,0.52,0.362,0.536
Winnebago Lutheran,0.889,0.517,0.555,0.487,0.561
Wisconsin Heights,0.238,0.552,0.543,0.489,0.505
Wittenberg-Birnamwood,0.88,0.576,0.521,0.536,0.524
Albany,1.0,0.463,0.516,0.463,0.516
Almond-Bancroft,0.885,0.418,0.495,0.396,0.499
Argyle,0.12,0.557,0.52,0.479,0.527
Assumption,0.893,0.578,0.517,0.547,0.514
Augusta,0.524,0.48,0.52,0.341,0.524
Bangor,0.741,0.602,0.523,0.626,0.527
Barneveld,0.741,0.529,0.519,0.438,0.509
Bayfield,0.0,0.0,0.0,0.0,0.0
Belmont,0.828,0.563,0.514,0.506,0.514
Benton,0.231,0.538,0.531,0.403,0.507
Birchwood,0.045,0.552,0.474,0.056,0.524
Black Hawk,0.435,0.582,0.543,0.344,0.504
Blair-Taylor,0.964,0.511,0.513,0.49,0.505
Bowler,0.368,0.435,0.491,0.323,0.486
Bruce,0.056,0.507,0.528,0.045,0.594
Butternut,0.44,0.48,0.485,0.285,0.491
Cambria-Friesland,0.13,0.54,0.528,0.463,0.502
Cashton,0.615,0.548,0.475,0.389,0.462
Catholic Central,0.304,0.579,0.522,0.33,0.521
Central WI Christian,0.731,0.45,0.497,0.352,0.494
Clayton,0.68,0.503,0.482,0.386,0.482
Clear Lake,0.76,0.492,0.515,0.389,0.499
Columbus Catholic,0.615,0.535,0.539,0.403,0.527
Cornell,0.4,0.464,0.508,0.222,0.47
De Soto,0.12,0.487,0.5,0.382,0.501
Drummond,0.636,0.496,0.485,0.375,0.482
Eau Claire Immanuel Lutheran,0.579,0.491,0.49,0.329,0.503
Elcho,0.238,0.526,0.505,0.295,0.457
Eleva-Strum,0.273,0.595,0.512,0.442,0.488
Elkhart Lake-Glenbeulah,0.423,0.557,0.533,0.491,0.529
Faith Christian (Wms Bay),0.471,0.445,0.442,0.33,0.437
Fall River,0.444,0.535,0.534,0.353,0.533
Flambeau,0.348,0.514,0.515,0.375,0.465
Florence,0.6,0.578,0.515,0.534,0.514
Frederic,0.24,0.593,0.469,0.383,0.481
Gillett,0.64,0.479,0.509,0.339,0.494
Gilman,0.64,0.508,0.531,0.374,0.542
Gilmanton,0.0,0.564,0.472,0.0,0.0
Granton,0.0,0.0,0.0,0.0,0.0
Greenwood,0.24,0.526,0.521,0.368,0.517
Gresham,0.583,0.443,0.503,0.322,0.49
Heritage Christian,0.36,0.51,0.5,0.399,0.472
Highland,0.5,0.516,0.536,0.379,0.497
Hilbert,0.115,0.596,0.541,0.428,0.503
Hillsboro,0.857,0.542,0.512,0.525,0.512
Hurley,0.76,0.549,0.528,0.552,0.524
Hustisford,0.333,0.617,0.526,0.583,0.508
Independence,0.36,0.473,0.494,0.237,0.513
Ithaca,0.654,0.46,0.49,0.369,0.492
Johnson Creek,0.583,0.477,0.475,0.358,0.474
Juda,0.167,0.499,0.506,0.517,0.531
Kickapoo,0.821,0.47,0.514,0.42,0.509
Lake Holcombe,0.5,0.465,0.508,0.24,0.51
Lena,0.846,0.474,0.489,0.417,0.477
Alma Center Lincoln,0.962,0.436,0.502,0.415,0.493
Living Word Lutheran,0.731,0.475,0.482,0.385,0.469
Loyal,0.522,0.517,0.519,0.338,0.523
Luck,0.083,0.581,0.523,0.581,0.549
Madison Country Day,0.0,0.0,0.0,0.0,0.0
Marion,0.16,0.391,0.496,0.127,0.5
McDonell Catholic,0.793,0.597,0.532,0.546,0.532
Mellen,0.654,0.504,0.511,0.399,0.508
Mercer,0.391,0.497,0.493,0.396,0.497
Milwaukee Academy of Science,0.88,0.493,0.538,0.501,0.539
New Auburn,0.815,0.46,0.503,0.415,0.492
New Lisbon,0.28,0.55,0.481,0.294,0.486
Newman Catholic,0.577,0.567,0.539,0.443,0.528
Niagara,0.815,0.514,0.506,0.498,0.521
North Crawford,0.25,0.446,0.496,0.25,0.502
Northland Lutheran,0.5,0.418,0.495,0.402,0.481
Northwood,0.333,0.525,0.472,0.352,0.494
Oakfield,0.815,0.56,0.516,0.56,0.514
Oneida Nation,0.364,0.583,0.471,0.386,0.466
Owen-Withee,0.375,0.528,0.534,0.382,0.54
Pecatonica,0.458,0.534,0.507,0.402,0.507
Phelps,0.0,0.273,0.497,0.0,0.0
Pittsville,0.56,0.467,0.497,0.325,0.487
Port Edwards,0.087,0.506,0.503,0.526,0.515
Prairie Farm,1.0,0.539,0.512,0.539,0.512
Prentice,0.348,0.568,0.521,0.243,0.501
Randolph,0.808,0.601,0.574,0.543,0.567
Rib Lake,0.136,0.589,0.532,0.223,0.525
Rio,0.692,0.47,0.523,0.393,0.488
River Ridge,0.667,0.465,0.528,0.435,0.528
Riverdale,0.28,0.528,0.534,0.392,0.488
Rosholt,0.56,0.516,0.521,0.35,0.505
Royall,0.846,0.519,0.517,0.464,0.507
Salam,0.783,0.396,0.477,0.374,0.48
Seneca,0.217,0.499,0.49,0.256,0.486
Sevastopol,0.963,0.491,0.532,0.477,0.526
Shell Lake,0.44,0.51,0.474,0.308,0.484
Shullsburg,0.615,0.525,0.537,0.484,0.534
Siren,0.828,0.485,0.517,0.432,0.517
Solon Springs,0.704,0.515,0.51,0.461,0.485
South Shore,0.926,0.496,0.513,0.478,0.513
Southwestern,0.167,0.57,0.554,0.672,0.589
Stockbridge,0.25,0.434,0.48,0.258,0.486
Suring,0.538,0.583,0.517,0.398,0.481
Thorp,0.13,0.598,0.524,0.506,0.509
Three Lakes,0.667,0.574,0.524,0.457,0.517
Tigerton,0.167,0.413,0.502,0.598,0.522
Tri-County,0.316,0.487,0.481,0.259,0.476
Turtle Lake,0.846,0.522,0.533,0.469,0.526
Wausaukee,0.417,0.529,0.519,0.318,0.515
Wauzeka-Steuben,0.692,0.447,0.513,0.364,0.49
Webster,0.28,0.509,0.534,0.278,0.548
Weston,0.174,0.46,0.5,0.282,0.472
Wild Rose,0.731,0.513,0.506,0.467,0.487
Williams Bay,0.261,0.53,0.503,0.367,0.472
Winter,0.577,0.499,0.478,0.326,0.462
Wonewoc-Center,0.583,0.52,0.487,0.35,0.473
Saint Thomas Aquinas,0.091,0.524,0.529,0.0,0.0
White Lake,0.0,0.091,0.513,0.0,0.0
Monticello,0.682,0.428,0.494,0.321,0.497
Cristo Rey Jesuit,0.294,0.451,0.482,0.261,0.519
Milwaukee Bay View,0.5,0.499,0.483,0.424,0.489
Washington Island,0.0,0.0,0.0,0.0,0.0
Lac Courte Oreilles,0.045,0.594,0.491,0.76,0.647
St. Augustine Prep,0.684,0.418,0.455,0.338,0.456
Milwaukee Excellence Charter School,0.111,0.478,0.51,0.5,0.547
Eastbrook Academy,0.0,0.0,0.0,0.0,0.0
Chesterton Academy,0.529,0.476,0.479,0.361,0.456
Plum City/Elmwood,0.36,0.555,0.524,0.415,0.5
Sun Prairie West,0.808,0.531,0.584,0.458,0.567
Princeton/Green Lake,0.24,0.542,0.536,0.392,0.533
Wabeno/Laona,0.75,0.639,0.523,0.582,0.517
Abundant Life Christian/St. Ambrose,0.522,0.438,0.496,0.397,0.511
Coulee Christian/Providence Academy (La Crosse),0.143,0.324,0.47,0.6,0.445
Potosi/Cassville,0.4,0.538,0.526,0.401,0.534
La Farge/Youth Initiative,0.6,0.44,0.469,0.252,0.466
Milwaukee Washington/Fuller Collegiate,0.55,0.402,0.494,0.286,0.499
Milwaukee Hamilton/Audubon,0.143,0.427,0.505,0.18,0.507
University Lake School Co-op,0.467,0.462,0.463,0.44,0.426
Saint Joan Antida/Tenor/Veritas,0.273,0.487,0.411,0.266,0.416
Faith Christian Academy (Wausau),0.4,0.167,0.418,0.0,0.0
Sheboygan Lutheran,0.808,0.554,0.572,0.541,0.566
Sheboygan Christian,0.3,0.57,0.518,0.686,0.521
Alma/Pepin,0.48,0.515,0.517,0.424,0.507
Green Bay N.E.W. Luth./Providence (G),0.48,0.48,0.525,0.318,0.527
Goodman/Pembine,0.273,0.493,0.497,0.435,0.551
Milwaukee Bradley/Milw. Arts,0.316,0.49,0.497,0.18,0.471
Milwaukee Marshall/Young Coggs,0.2,0.499,0.478,0.414,0.462
Milw Pulaski Co-op,0.6,0.483,0.449,0.49,0.447
Little Chute,0.174,0.503,0.542,0.16,0.497
Hmong American Peace,0.0,0.333,0.48,0.0,0.0
