Onalaska,923,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66733
Oregon,1248,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66734
Pewaukee,874,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66735
Pius XI Catholic,699,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66736
Plymouth,746,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66737
Port Washington,815,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66738
Portage,705,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66739
Pulaski,1141,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66740
Reedsburg,897,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66741
Rhinelander,747,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66742
Rice Lake,714,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66743
River Falls,1114,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66744
Saint Anthony,555,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66745
Sauk Prairie,858,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66746
Seymour,655,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66747
Shawano,797,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66748
Shorewood,662,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66749
Slinger,1052,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66750
South Milwaukee,1002,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66751
Sparta,909,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66752
Stoughton,868,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66753
Tomah,919,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66754
Union Grove,1049,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66755
Waterford,958,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66756
Waunakee,1309,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66758
Waupaca,589,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66759
Wausau East,948,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66760
Wauwatosa East,1047,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66761
Wauwatosa West,1028,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66762
West Bend West,1077,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66764
West De Pere,1087,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66765
Westosha Central,1220,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66766
Whitefish Bay,944,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66767
Whitnall,826,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66768
Wilmot,951,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66769
Wisconsin Lutheran,938,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66770
Adams-Friendship,432,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66771
Altoona,560,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66772
Amery,467,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66773
Amherst,344,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66774
Arcadia,417,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66775
Baldwin-Woodville,506,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66776
Barron,331,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66777
Berlin,474,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66778
Big Foot,449,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66779
Black River Falls,481,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66780
Bloomer,429,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66781
Brillion,342,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66782
Brodhead,315,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66783
Brookfield Academy,334,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66784
Campbellsport,470,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66785
Carmen Northwest,382,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66786
Cedar Grove-Belgium,291,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66787
Chilton,401,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66788
Clinton,359,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66789
Clintonville,412,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66790
Columbus,390,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66791
Denmark,488,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66792
Dodgeville,375,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66793
Dominican,324,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66794
East Troy,504,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66795
Edgerton,537,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66796
Edgewood,569,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66797
Elk Mound,344,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66798
Ellsworth,518,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66799
Evansville,507,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66800
Fox Valley Lutheran,742,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66801
Freedom,504,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66802
Hayward,604,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66804
Kewaunee,298,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66806
Kiel,453,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66807
Lake Mills,491,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66808
Lakeside Lutheran,506,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66809
Little Chute,514,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66810
Lodi,451,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66811
Lomira,323,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66812
Marshall,292,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66813
Martin Luther,649,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66814
Mauston,474,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66815
Mayville,375,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66816
Nekoosa,295,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66818
New Holstein,319,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66819
North Fond du Lac,466,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66820
Northland Pines,451,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66821
Northwestern,400,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66822
Obama SCTE,756,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66823
Oconto,282,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66824
Oconto Falls,521,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66825
Omro,333,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66826
Oostburg,331,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66827
Osceola,552,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66828
Palmyra-Eagle,195,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66829
Peshtigo,339,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66830
Platteville,513,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66831
Poynette,310,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66832
Prairie du Chien,343,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66833
Prescott,431,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66834
Richland Center,418,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66836
Ripon,484,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66837
River Valley,389,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66838
St. Croix Central,514,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66839
Saint Francis,522,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66840
Saint Thomas More,547,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66841
Sheboygan Falls,513,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66842
Somerset,470,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66843
Southern Door,323,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66844
Spooner,365,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66845
Sturgeon Bay,394,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66846
Tomahawk,371,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66847
Two Rivers,480,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66848
Turner,460,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66849
Valders,298,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66851
Viroqua,339,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=66852
