Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
Green Bay Southwest,0.63636,0.50568,0.49355,0.52684,0.53198,1,2A,11,2023
Greendale,0.43478,0.44103,0.47977,0.52369,0.52007,2,4B,8,2023
Greenfield,0.63636,0.58637,0.55362,0.52529,0.51499,2,4B,5,2023
Greenwood,0.18182,0.52062,0.51543,0.50112,0.50271,5,3A,15,2023
Gresham,0.57143,0.42857,0.43478,0.47817,0.47606,5,2A,10,2023
Hamilton,0.36364,0.59207,0.59215,0.57443,0.57963,1,3A,9,2023
Hartford,0.72727,0.52957,0.51829,0.55347,0.55572,1,2A,4,2023
Hayward,0.5,0.46855,0.4635,0.50102,0.49521,2,1A,8,2023
Heritage Christian,0.31818,0.47139,0.48148,0.4835,0.48266,5,4B,10,2023
Highland,0.47619,0.48985,0.50938,0.49162,0.48224,5,3B,5,2023
Hilbert,0.04545,0.57843,0.56701,0.5094,0.51418,5,4B,14,2023
Hillsboro,0.82609,0.53215,0.50685,0.50223,0.50761,5,3A,2,2023
Holmen,0.56522,0.52555,0.51031,0.53371,0.53248,1,1A,11,2023
Homestead,0.86364,0.52941,0.53799,0.55719,0.55713,1,2A,2,2023
Horicon,0.28571,0.47208,0.46154,0.48684,0.4826,4,4B,8,2023
Hortonville,0.86364,0.63662,0.62651,0.55303,0.55492,1,1A,3,2023
Howards Grove,0.68182,0.52185,0.52717,0.52831,0.53051,4,4A,5,2023
Hudson,0.86364,0.60588,0.60588,0.54609,0.54609,1,1A,4,2023
Hurley,0.77778,0.5753,0.54074,0.51068,0.51083,5,1A,2,2023
Hustisford,0.33333,0.57508,0.56934,0.47574,0.48521,5,4A,11,2023
Independence,0.34783,0.44648,0.44353,0.48641,0.48789,5,3A,12,2023
Iola-Scandinavia,0.8,0.49077,0.44444,0.49763,0.50694,5,2A,4,2023
Iowa-Grant,0.27273,0.469,0.49284,0.48972,0.49107,4,3A,11,2023
Ithaca,0.59091,0.44231,0.43109,0.46522,0.46394,5,3B,6,2023
Janesville Craig,0.77273,0.45845,0.44737,0.52575,0.52463,1,4A,5,2023
Janesville Parker,0.22727,0.51495,0.50179,0.50517,0.49585,1,4A,14,2023
Jefferson,0.45455,0.48655,0.51376,0.53008,0.54106,3,4B,5,2023
Johnson Creek,0.57143,0.43445,0.4517,0.47003,0.46304,5,4A,4,2023
Juda,0.13636,0.44205,0.4298,0.46325,0.46277,5,4A,14,2023
Kaukauna,0.69565,0.56201,0.5625,0.55141,0.55738,1,2A,3,2023
Kenosha Bradford,0.78261,0.52885,0.49062,0.52283,0.52282,1,4A,4,2023
Kenosha Christian Life,0.42857,0.50482,0.50519,0.48912,0.48567,4,4B,5,2023
Kenosha Indian Trail,0.43478,0.46597,0.45946,0.5139,0.51561,1,4A,11,2023
Kenosha St. Joseph Catholic,0.45455,0.47792,0.47953,0.51106,0.51197,4,4B,7,2023
Kenosha Tremper,0.65217,0.4504,0.4504,0.50432,0.50446,1,4A,9,2023
Kettle Moraine,0.95238,0.57729,0.57681,0.5474,0.55853,1,4A,1,2023
Kettle Moraine Lutheran,0.56522,0.6298,0.61558,0.5574,0.55983,3,2B,4,2023
Kewaskum,0.77273,0.58654,0.57796,0.54709,0.54744,3,2B,2,2023
Kewaunee,0.36364,0.58355,0.57184,0.49332,0.488,4,2B,10,2023
Kickapoo,0.78261,0.45499,0.45777,0.47931,0.47119,5,3B,2,2023
Kiel,0.6087,0.50122,0.51762,0.52233,0.51541,3,2B,5,2023
Kimberly,0.52174,0.63092,0.60778,0.56728,0.57174,1,2A,7,2023
Kohler,0.22727,0.50515,0.5082,0.51956,0.51945,4,4A,12,2023
